S01: 10024,-6849,-4309,19,-362,-685,-31,121,101.
S01: 10096,-10437,-8275,183,367,-53,-87,201,119.
S01: 13731,-8570,-7222,536,208,382,-55,201,123.
S01: 9571,-10772,-6900,381,387,-63,-55,169,111.
S01: 11100,-10537,-6961,-36,345,34,-87,177,107.
S01: 10990,-11177,-8550,-403,-286,-475,-63,193,129.
S01: 13601,-8777,-5489,-162,-303,-136,-111,209,111.
S01: 9215,-11536,-5069,-67,157,65,-55,241,105.
S01: 15710,-8908,-7005,-92,-32,-300,-87,185,115.
S01: 7878,-10097,-5428,-88,-217,-679,-119,241,97.
S01: 14869,-8618,-7072,-182,120,-233,-103,233,119.
S01: 12725,-9506,-7320,127,-335,-321,-143,201,99.
S01: 12044,-6539,-7454,341,158,134,-127,225,121.
S01: 14167,-10178,-5015,697,538,296,-135,249,115.
S01: 12273,-12583,-5078,267,518,194,-135,241,145.
S01: 12322,-9060,-5038,-30,-55,-177,-119,265,99.
S01: 13064,-10904,-8380,114,18,5,-167,281,107.
S01: 10774,-8671,-3495,-143,-170,138,-135,233,85.
S01: 10598,-8208,-1164,-8,323,319,-127,257,99.
S01: 11936,-12409,-6437,-263,-371,51,-159,241,109.
S01: 10694,-7657,-3617,-423,-602,-803,-143,217,95.
S01: 28717,-26414,32767,-535,-4203,-574,-159,233,107.
S01: 12875,-10023,-9533,-1085,-1160,-430,-143,241,103.
S01: 6344,-7416,-18377,-2175,-1444,-1326,-143,233,119.
S01: 10182,-4876,-7213,-696,-85,514,-127,201,129.
S01: 11431,-6485,-10361,-966,-816,-996,-127,177,143.
S01: 11285,-3947,-10500,-1184,-526,-719,-175,209,135.
S01: 15554,-1370,-7810,-351,630,511,-127,161,131.
S01: 8321,-5554,-10375,-494,-685,-844,-143,137,147.
S01: 21096,-2871,-15682,-203,-403,-260,-151,137,139.
S01: 5706,-4949,-11164,-425,-245,-321,-119,129,145.
S01: 12978,-2587,-14661,-164,-970,-809,-151,121,159.
S01: 20538,-2659,-12131,-170,-539,-602,-175,129,143.
S01: 15485,307,-8067,-305,597,516,-183,177,139.
S01: 12246,-1782,-12400,-343,-35,36,-167,113,153.
S01: 11603,-1639,-11816,-66,519,545,-191,89,171.
S01: 17426,1087,-12119,136,-717,-131,-167,73,163.
S01: 12052,-1873,-10641,-49,547,1545,-215,121,153.
S01: 10609,-2649,-12213,170,436,1127,-135,89,145.
S01: 10132,-4455,-12605,222,-53,578,-95,57,183.
S01: 15014,-4031,-14414,752,509,777,-143,57,163.
S01: 8271,-5044,-8328,725,792,1380,-79,57,147.
S01: 13647,-6524,-11669,401,817,963,-103,89,143.
S01: 11180,-6819,-8705,290,181,667,-71,73,157.
S01: 13968,-6768,-10224,409,193,469,-31,81,153.
S01: 9856,-8511,-10540,355,241,470,-47,105,119.
S01: 11588,-9104,-11697,273,354,193,-87,113,125.
S01: 9747,-9320,-9206,415,120,-132,-79,137,147.
S01: 11972,-8658,-8339,404,278,61,-31,113,121.
S01: 12328,-9288,-9249,404,54,-49,-63,161,139.
S01: 9170,-9591,-7409,173,148,16,-47,105,121.
S01: 12269,-8923,-7120,228,292,227,-111,113,133.
S01: 12256,-9807,-8847,77,-259,-286,-71,145,135.
S01: 9638,-9672,-6609,198,425,269,-39,161,149.
S01: 13504,-9167,-8506,137,-123,-154,-47,145,127.
S01: 9733,-10220,-7018,150,65,-97,-55,185,129.
S01: 12168,-9359,-5558,-90,-91,-575,-95,185,135.
S01: 12510,-9407,-8730,167,-183,-423,-55,145,115.
S01: 12918,-9109,-6568,177,-358,-775,-111,177,145.
S01: 9877,-7835,-5411,-9,-61,-187,-135,201,141.
S01: 13211,-8827,-7753,-79,-458,-410,-103,161,127.
S01: 10443,-8006,-6433,-90,-107,-30,-127,185,97.
S01: 13890,-10303,-15021,-240,-861,-751,-135,217,115.
S01: 7454,-7718,-4979,-455,28,354,-135,193,113.
S01: 14902,-5625,-9446,-866,-1336,-720,-127,209,123.
S01: 10086,-3912,-6081,-488,-902,152,-119,201,133.
S01: 4851,-6059,-12896,-2309,-1576,-1417,-119,169,117.
S01: 15954,-3344,-9880,-874,-729,-617,-95,145,139.
S01: 11734,-4227,-16872,-1718,-877,-813,-143,145,153.
